OTU	barcode01	barcode02	barcode13	barcode14	barcode25	barcode26	barcode37	barcode38	barcode49	barcode50	barcode61	barcode62	barcode73	barcode74	barcode85	barcode86	Kingdom	Phylum	Class	Order	Family	Genus	Species
FLASV1.1417	567	5	451	21	382	34	1	1	2	0	916	0	1490	86	1916	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__C10-SB1A	 f__Amarolineaceae	 g__Ca_Amarolinea	 s__Ca_Amarolinea_dominans
FLASV10.1442	512	92	409	1333	232	952	2607	948	1038	1423	93	491	496	2	182	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Intrasporangiaceae	 g__Ca_Phosphoribacter	 s__midas_s_5
FLASV100.1441	1110	0	977	153	534	105	1	0	0	0	12	0	97	1	21	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__midas_o_5	 f__midas_f_5	 g__midas_g_100	 s__midas_s_100
FLASV1000.1425	2	3	2	2	1	6	1	1	1	2	1	0	5	4	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Romboutsia	 s__Romboutsia_ilealis
FLASV100001.1308	0	6	1	2	3	5	0	1	0	0	0	0	0	0	3	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Acetobacterales	 f__Acetobacteraceae	 g__Roseomonas	 s__midas_s_100001
FLASV100002.1351	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Pirellulales	 f__Pirellulaceae	 g__p-1088-a5_gut_group	 s__midas_s_446
FLASV100005.1310	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Tistrellales	 f__Geminicoccaceae	 g__Ca_Alysiosphaera	 s__midas_s_100005
FLASV100014.1422	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	k__Bacteria	 p__Cloacimonadota	 c__Cloacimonadia	 o__Cloacimonadales	 f__Cloacimonadaceae	 g__Ca_Cloacimonas	 s__midas_s_7660
FLASV100018.1353	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Family_XI	 g__Tissierella	 s__midas_s_100018
FLASV10002.1305	171	104	127	37	63	44	56	12	26	40	20	10	78	18	43	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Hyphomicrobium	 s__midas_s_121
FLASV100021.1396	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Planctomycetota	 c__Phycisphaerae	 o__Phycisphaerales	 f__AKAU3564_sediment_group	 g__midas_g_100021	 s__midas_s_100021
FLASV100022.1359	0	4	0	7	1	3	1	0	0	0	0	0	0	1	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Terrimonas	 s__midas_s_1889
FLASV100026.1371	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Desulfobacterota	 c__Desulfovibrionia	 o__Desulfovibrionales	 f__Desulfomicrobiaceae	 g__Desulfomicrobium	 s__midas_s_21122
FLASV100027.1374	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	k__Bacteria	 p__Cloacimonadota	 c__Cloacimonadia	 o__Cloacimonadales	 f__Cloacimonadaceae	 g__W5	 s__midas_s_8265
FLASV100030.1362	0	0	0	0	2	0	0	0	0	0	0	0	0	33	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_vadinHA17	 g__midas_g_800	 s__midas_s_7434
FLASV10004.1356	0	0	0	3	0	3	0	3	1	5	0	2	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Rhodoferax	 s__midas_s_8140
FLASV100045.1394	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	k__Bacteria	 p__Caldatribacteriota	 c__Caldatribacteriia	 o__Caldatribacteriales	 f__Caldatribacteriaceae	 g__Ca_Caldatribacterium	 s__midas_s_4106
FLASV10005.1353	0	10	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 g__OLB12	 s__midas_s_1472
FLASV100050.1352	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	k__Bacteria	 p__Firmicutes	 c__midas_c_4	 o__DTU014	 f__midas_f_148	 g__midas_g_515	 s__midas_s_1315
FLASV100051.1475	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Gracilibacteraceae	 f__Gracilibacter	 g__midas_g_669	 s__midas_s_49585
FLASV100054.1342	0	0	0	0	0	4	0	3	0	7	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_10575
FLASV10006.1340	67	153	59	51	31	42	33	18	15	20	27	5	133	19	34	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__midas_o_5	 f__midas_f_5	 g__midas_g_100	 s__midas_s_151
FLASV100060.1387	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	k__Bacteria	 p__Firmicutes	 c__Syntrophomonadia	 o__Syntrophomonadales	 f__Syntrophomonadaceae	 g__Syntrophomonas	 s__midas_s_5075
FLASV100069.1338	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Synergistota	 c__Synergistia	 o__Synergistales	 f__Synergistaceae	 g__midas_g_762	 s__midas_s_7319
FLASV10007.1340	1091	1	892	139	509	98	0	0	0	2	15	0	109	1	19	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__midas_o_5	 f__midas_f_5	 g__midas_g_100	 s__midas_s_100
FLASV100073.1286	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Amaricoccus	 s__midas_s_13927
FLASV100076.1356	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Marinilabiliaceae	 g__Ruminofilibacter	 s__midas_s_4090
FLASV10008.1344	2	1	1	0	0	0	5	0	3	2	1	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_3560
FLASV100082.1359	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Sulfuritalea	 s__midas_s_100082
FLASV100089.1324	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Terrisporobacter	 s__midas_s_78
FLASV100093.1338	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria	 p__Synergistota	 c__Synergistia	 o__Synergistales	 f__Synergistaceae	 g__midas_g_762	 s__midas_s_7319
FLASV100095.1375	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__WCHB1-81	 o__midas_o_765	 f__midas_f_765	 g__midas_g_765	 s__midas_s_765
FLASV1001.1459	8	3	10	4	7	3	22	3	13	1	3	4	7	0	3	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__midas_o_26	 f__midas_f_98	 g__midas_g_268	 s__midas_s_268
FLASV10010.1350	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Lentimicrobiaceae	 g__Lentimicrobium	 s__midas_s_10010
FLASV100105.1357	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Tannerellaceae	 g__Macellibacteroides	 s__midas_s_5206
FLASV100108.1353	0	4	0	1	0	3	0	0	0	0	0	0	0	5	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__Ca_Opimibacter	 s__midas_s_60
FLASV10011.1342	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Uliginosibacterium	 s__midas_s_53
FLASV100112.1557	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales	 f__Hungateiclostridiaceae	 g__midas_g_100112	 s__midas_s_100112
FLASV100114.1321	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Bacteria	 p__Patescibacteria	 c__ABY1	 o__Ca_Kerfeldbacteria	 f__midas_f_42633	 g__midas_g_42633	 s__midas_s_42633
FLASV100118.1376	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__midas_f_20645	 g__midas_g_35108	 s__midas_s_92292
FLASV10012.1359	52	58	56	41	63	54	31	46	12	86	21	25	26	0	27	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Rhodocyclaceae	 g__Azonexus	 s__Azonexus_phosphorivorans
FLASV100121.1339	4	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Propionibacteriales	 f__Propionibacteriaceae	 g__Propioniciclava	 s__midas_s_8411
FLASV100129.1379	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__midas_f_4245	 g__midas_g_4582	 s__midas_s_4582
FLASV10013.1342	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_9679
FLASV100130.1341	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales	 f__Hungateiclostridiaceae	 g__HN-HF0106	 s__midas_s_100130
FLASV100137.1453	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Acetoanaerobium	 s__midas_s_40368
FLASV10015.1299	585	437	516	63	267	60	57	240	39	494	228	162	386	2	280	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Rhodobacter	 s__midas_s_63
FLASV100154.1471	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Monoglobales	 f__Monoglobaceae	 g__Monoglobus	 s__midas_s_8279
FLASV100156.1324	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__SBR1031	 f__midas_f_1469	 g__midas_g_4419	 s__midas_s_4419
FLASV10016.1359	2	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Nitrospirota	 c__Nitrospiria	 o__Nitrospirales	 f__Nitrospiraceae	 g__Nitrospira	 s__Nitrospira_defluvii
FLASV100162.1492	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Firmicutes	 c__Syntrophomonadia	 o__Syntrophomonadales	 f__Syntrophomonadaceae	 g__Syntrophomonas	 s__Syntrophomonas_wolfei
FLASV10017.1344	3	3	2	4	2	8	2	2	3	12	1	4	0	0	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__Flavobacterium_succinicans
FLASV100174.1374	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	k__Bacteria	 p__Cloacimonadota	 c__Cloacimonadia	 o__Cloacimonadales	 f__Cloacimonadaceae	 g__W5	 s__midas_s_8265
FLASV100176.1333	3	2	2	0	2	0	1	0	0	0	0	1	1	1	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Clostridium_sensu_stricto_1	 s__Clostridium_saudiense
FLASV10018.1352	4	17	5	6	5	5	0	3	1	21	2	3	8	0	2	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter	 s__Pedobacter_ruber
FLASV100188.1397	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	k__Bacteria	 p__Cloacimonadota	 c__Cloacimonadia	 o__Cloacimonadales	 f__Cloacimonadaceae	 g__Ca_Cloacimonas	 s__midas_s_95016
FLASV100196.1305	147	117	125	6	73	13	52	26	32	44	62	25	154	27	74	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Hyphomicrobiaceae	 g__Hyphomicrobium	 s__midas_s_11440
FLASV1002.1445	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__AKYH767	 g__midas_g_283	 s__midas_s_1002
FLASV10020.1356	0	0	0	2	0	0	0	80	4	103	0	39	0	0	1	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Rhodoferax	 s__midas_s_10020
FLASV100200.1324	13	4	7	4	8	7	3	1	2	3	2	1	13	2	6	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Romboutsia	 s__midas_s_34
FLASV10021.1347	4	0	4	0	11	0	0	0	1	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__37-13	 g__midas_g_535	 s__midas_s_7886
FLASV100215.1458	17	102	9	36	10	16	3	1	1	3	138	0	144	1	10	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Proteocatella	 s__midas_s_100215
FLASV100216.1433	1	4	0	2	0	1	1	3	2	2	2	2	0	0	2	0	k__Bacteria	 p__Patescibacteria	 c__Gracilibacteria	 o__midas_o_42566	 f__midas_f_42566	 g__midas_g_42566	 s__midas_s_100216
FLASV10022.1342	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_2160
FLASV100220.1360	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Dysgonomonadaceae	 g__Proteiniphilum	 s__Proteiniphilum_saccharofermentans
FLASV100222.1354	29	20	6	20	10	25	13	37	4	63	6	14	13	10	10	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Acidovorax	 s__midas_s_33515
FLASV100224.1349	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria	 p__Armatimonadota	 c__midas_c_216	 o__midas_o_216	 f__midas_f_216	 g__midas_g_100224	 s__midas_s_100224
FLASV10023.1361	46	8	29	8	24	8	48	2	37	1	6	0	23	2	23	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Terrimonas	 s__midas_s_390
FLASV10024.1359	0	7	0	0	0	0	0	8	0	135	0	19	0	2	0	0	k__Bacteria	 p__Acidobacteriota	 c__Holophagae	 o__Holophagales	 f__Holophagaceae	 g__Geothrix	 s__Ca_Geothrix_odensensis
FLASV100240.1319	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__midas_g_9913	 s__midas_s_100240
FLASV100242.1378	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	k__Bacteria	 p__Desulfobacterota	 c__Syntrophia	 o__Syntrophales	 f__midas_f_134	 g__midas_g_134	 s__midas_s_1266
FLASV100249.1305	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Pleomorphomonadaceae	 g__Pleomorphomonas	 s__Pleomorphomonas_oryzae
FLASV100254.1345	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	k__Bacteria	 p__Campylobacterota	 c__Campylobacteria	 o__Campylobacterales	 f__Arcobacteraceae	 g__Pseudarcobacter	 s__midas_s_1505
FLASV100255.1361	7	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria	 p__Nitrospirota	 c__Nitrospiria	 o__Nitrospirales	 f__Nitrospiraceae	 g__Nitrospira	 s__midas_s_31566
FLASV10026.1377	17	5	12	6	3	4	44	45	14	93	2	8	10	3	11	0	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Streptococcaceae	 g__Lactococcus	 s__Lactococcus_chungangensis
FLASV10027.1359	7	73	9	21	2	19	78	23	59	44	6	16	5	4	10	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 g__Ferruginibacter	 s__midas_s_270
FLASV10028.1334	68	57	37	16	20	23	31	27	14	46	21	13	40	1	24	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales	 f__Ruminococcaceae	 g__Subdoligranulum	 s__midas_s_348
FLASV100285.1372	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	k__Bacteria	 p__Desulfobacterota	 c__Desulfuromonadia	 o__Bradymonadales	 f__midas_f_62412	 g__midas_g_98214	 s__midas_s_100285
FLASV100287.1355	103	2	88	11	51	13	0	19	0	24	54	6	152	0	71	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Saprospiraceae	 g__OLB8	 s__midas_s_18484
FLASV100289.1324	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Terrisporobacter	 s__midas_s_78
FLASV10029.1344	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Flavobacteriales	 f__Flavobacteriaceae	 g__Flavobacterium	 s__midas_s_3382
FLASV100290.1344	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Gracilibacteraceae	 f__Lutispora	 g__midas_g_1251	 s__midas_s_1911
FLASV100294.1286	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Caulobacterales	 f__Hyphomonadaceae	 g__SWB02	 s__midas_s_2783
FLASV100298.1382	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria	 p__Desulfobacterota	 c__Syntrophorhabdia	 o__Syntrophorhabdales	 f__Syntrophorhabdaceae	 g__Syntrophorhabdus	 s__midas_s_71754
FLASV10030.1359	0	14	0	1	0	4	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Pseudomonadales	 f__Moraxellaceae	 g__Acinetobacter	 s__Acinetobacter_celticus
FLASV100301.1352	6	0	7	0	5	0	0	0	0	0	0	0	2	0	1	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__M2PB4-65_termite_group	 g__midas_g_2475	 s__midas_s_4699
FLASV10031.1350	0	35	0	1	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__midas_g_81	 s__midas_s_202
FLASV100310.1452	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	k__Bacteria	 p__Patescibacteria	 c__Microgenomatia	 o__Ca_Woesebacteria	 f__midas_f_7092	 g__midas_g_91580	 s__midas_s_100310
FLASV100316.1324	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Peptostreptococcaceae	 g__Intestinibacter	 s__Intestinibacter_bartlettii
FLASV100318.1334	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Clostridiales	 f__Clostridiaceae	 g__Clostridium_sensu_stricto_1	 s__Clostridium_perfringens
FLASV10032.1282	3	24	9	9	7	11	2	4	0	8	3	2	8	0	4	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Rhodobacter	 s__midas_s_430
FLASV100324.1357	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_vadinHA17	 g__midas_g_3530	 s__midas_s_91884
FLASV100329.1440	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptococcales	 f__Peptococcaceae	 g__Dehalobacterium	 s__midas_s_97644
FLASV10033.1313	21	11	19	36	15	37	17	0	6	0	0	0	0	0	0	0	k__Bacteria	 p__Patescibacteria	 c__Saccharimonadia	 o__Saccharimonadales	 f__Saccharimonadaceae	 g__Ca_Saccharimonas	 s__midas_s_10033
FLASV100332.1373	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__midas_f_4245	 g__midas_g_44684	 s__midas_s_95410
FLASV100333.1349	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Christensenellales	 f__Christensenellaceae	 g__Christensenellaceae_R-7_group	 s__midas_s_100333
FLASV100336.1352	2	2	1	0	1	2	4	0	1	1	0	0	0	0	1	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__SC-I-84	 g__midas_g_1341	 s__midas_s_3710
FLASV10034.1353	10	6	16	16	16	24	1	6	2	20	2	6	4	2	14	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__AKYH767	 g__midas_g_300	 s__midas_s_1014
FLASV100340.1350	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Christensenellales	 f__Christensenellaceae	 g__Christensenellaceae_R-7_group	 s__midas_s_100340
FLASV100342.1343	0	0	0	0	1	3	1	0	0	0	0	0	0	1	1	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Christensenellales	 f__Christensenellaceae	 g__Christensenellaceae_R-7_group	 s__midas_s_62346
FLASV10035.1421	7	3	3	1	2	0	0	0	0	0	2	0	2	61	2	0	k__Bacteria	 p__Cloacimonadota	 c__Cloacimonadia	 o__Cloacimonadales	 f__Cloacimonadaceae	 g__Ca_Cloacimonas	 s__midas_s_87
FLASV100353.1359	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Neisseriaceae	 g__Neisseria	 s__midas_s_16434
FLASV100355.1349	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Peptostreptococcales-Tissierellales	 f__Anaerovoracaceae	 g__Amnipila	 s__midas_s_3195
FLASV100358.1344	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Oscillospirales	 f__Hungateiclostridiaceae	 g__Acetivibrio	 s__midas_s_4327
FLASV10036.1369	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__Lactobacillales	 f__Listeriaceae	 g__Brochothrix	 s__midas_s_10036
FLASV10037.1366	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Aeromonadaceae	 g__Aeromonas	 s__midas_s_4701
FLASV100373.1357	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Tannerellaceae	 g__Macellibacteroides	 s__midas_s_5206
FLASV10038.1323	529	71	486	33	298	46	9	7	4	3	39	7	89	7	38	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Ardenticatenales	 f__Ca_Promineofilaceae	 g__Ca_Promineofilum	 s__Ca_Promineofilum_glycogenico
FLASV100382.1366	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	k__Bacteria	 p__Coprothermobacterota	 c__Coprothermobacteria	 o__Coprothermobacterales	 f__Coprothermobacteraceae	 g__Coprothermobacter	 s__Coprothermobacter_proteolyticus
FLASV100387.1389	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Bacilli	 o__RF39	 f__midas_f_40318	 g__midas_g_48957	 s__midas_s_48957
FLASV100392.1354	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Rs-E47_termite_group	 g__GWE2-42-42	 s__midas_s_3987
FLASV1004.1413	53	53	42	15	39	33	18	21	7	53	22	18	34	7	14	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae	 g__Bradyrhizobium	 s__midas_s_251
FLASV10041.1308	0	14	0	6	0	4	2	4	1	3	1	9	0	1	1	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Xanthobacteraceae	 g__Afipia	 s__midas_s_812
FLASV100414.1371	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__RBG-13-54-9	 f__midas_f_5792	 g__midas_g_6182	 s__midas_s_6182
FLASV100417.1345	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	k__Bacteria	 p__Campylobacterota	 c__Campylobacteria	 o__Campylobacterales	 f__Arcobacteraceae	 g__Arcobacter	 s__midas_s_2255
