OTU	barcode01	barcode02	barcode13	barcode14	barcode25	barcode26	barcode37	barcode38	barcode49	barcode50	barcode61	barcode62	barcode73	barcode74	barcode85	barcode86	Kingdom	Phylum	Class	Order	Family	Genus	Species
FLASV1900.1456	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Dethiobacteria	 o__Dethiobacterales	 f__Dethiobacteraceae	 g__midas_g_1900	 s__midas_s_1900
FLASV19000.1322	8	3	3	0	4	0	0	0	0	0	2	0	10	171	3	0	k__Bacteria	 p__Chloroflexi	 c__Anaerolineae	 o__Anaerolineales	 f__Anaerolineaceae	 g__Leptolinea	 s__midas_s_825
FLASV19001.1359	1	0	2	1	0	0	0	0	0	3	1	0	1	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__midas_o_26	 f__midas_f_98	 g__midas_g_273	 s__midas_s_3154
FLASV19002.1344	5	8	5	28	4	13	3	1	1	8	3	1	14	9	9	0	k__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 g__Microbacterium	 s__midas_s_1376
FLASV19004.1336	3	0	3	0	3	0	1	1	1	0	1	1	4	0	3	0	k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae	 g__midas_g_1221	 s__midas_s_1302
FLASV19005.1285	2	3	1	1	1	2	0	3	0	6	2	4	5	0	4	0	k__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhodobacterales	 f__Rhodobacteraceae	 g__Gemmobacter	 s__Gemmobacter_aquaticus
FLASV1901.1422	0	6	0	1	0	1	0	0	0	0	1	0	2	1	0	0	k__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Planctomycetales	 f__Rubinisphaeraceae	 g__SH-PL14	 s__midas_s_1445
FLASV19010.1343	0	0	1	2	1	0	0	0	0	0	0	1	0	0	0	0	k__Bacteria	 p__Actinobacteriota	 c__Acidimicrobiia	 o__Microtrichales	 f__Ilumatobacteraceae	 g__CL500-29_marine_group	 s__midas_s_21
FLASV19017.1353	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Lentimicrobiaceae	 g__midas_g_1061	 s__midas_s_1208
FLASV19019.1356	0	0	0	0	0	1	1	0	2	1	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 g__Rhodoferax	 s__midas_s_19019
FLASV19021.1350	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Hydrogenophilaceae	 g__midas_g_3907	 s__midas_s_3907
FLASV19023.1357	0	1	2	0	1	1	0	0	0	1	2	0	0	0	0	0	k__Bacteria	 p__Firmicutes	 c__Clostridia	 o__Eubacteriales	 f__Eubacteriaceae	 g__midas_g_2229	 s__midas_s_2229
FLASV19025.1356	0	11	0	1	0	2	0	0	0	0	0	0	0	0	0	0	k__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Bacteroidetes_vadinHA17	 g__midas_g_3337	 s__midas_s_19025
