#OTU ID	barcode85	barcode26	barcode73	barcode13	barcode49	barcode01	barcode86	barcode37	barcode38	barcode14	barcode02	barcode62	barcode50	barcode61	barcode25	barcode74
Zotu2950	12	0	13	4	2	0	0	1	0	1	0	0	0	7	7	0
Zotu2634	8	0	12	0	0	0	0	0	4	1	2	2	13	4	0	0
Zotu2089	6	13	17	19	0	13	0	0	5	8	3	1	10	13	7	5
Zotu1759	9	0	48	2	0	0	0	0	3	1	25	2	5	12	0	9
Zotu2281	15	0	11	11	0	23	0	0	10	0	10	8	23	9	13	0
Zotu1991	5	0	20	8	7	12	0	13	0	0	6	0	0	4	8	0
Zotu1494	17	23	5	16	12	7	0	4	3	23	5	2	8	2	13	0
Zotu3604	10	8	8	3	4	2	0	3	1	4	5	0	0	7	4	0
Zotu2758	6	3	16	1	24	2	0	29	0	4	0	0	1	4	3	9
Zotu2302	8	3	10	9	13	8	0	46	9	3	7	3	11	4	6	6
Zotu776	18	0	25	37	3	47	0	13	30	1	36	19	75	5	34	9
Zotu3568	5	2	9	6	1	5	0	3	2	1	10	3	2	1	2	3
Zotu2176	4	0	6	9	3	20	0	7	4	0	0	4	6	4	9	29
Zotu3501	8	2	3	4	4	7	0	6	0	0	0	2	2	7	5	0
Zotu2438	24	2	7	12	3	10	0	0	0	3	2	0	3	7	19	2
Zotu3828	2	1	2	0	1	2	0	2	1	5	2	0	7	3	1	3
Zotu4462	2	0	1	0	0	3	0	0	1	1	29	7	7	0	2	8
Zotu3715	16	0	3	0	0	0	0	0	7	3	1	18	19	1	3	0
Zotu1050	20	13	12	13	6	15	0	14	24	6	17	29	60	3	15	0
Zotu2783	12	7	13	4	6	12	0	16	8	14	16	5	18	8	3	20
Zotu3876	3	2	1	1	0	1	0	0	2	1	3	10	15	0	1	3
Zotu9	2	216	5	2	271	4	0	763	80	234	14636	39	152	1	2	5
Zotu3589	1	2	0	0	15	0	0	17	2	3	0	1	2	0	0	0
Zotu385	23	80	8	78	244	112	0	314	99	50	0	54	163	9	60	1
Zotu1533	9	13	6	10	3	11	0	2	5	11	2	1	5	2	3	31
Zotu1306	9	4	15	20	6	42	0	16	3	10	46	1	11	3	16	9
Zotu3369	4	10	1	4	9	2	0	5	5	10	5	4	6	6	0	1
Zotu1712	5	17	6	0	0	6	0	1	13	11	25	14	24	3	1	21
Zotu1714	15	12	29	10	7	10	0	10	5	17	21	4	20	10	12	29
Zotu1558	6	9	8	12	8	13	0	10	23	20	5	25	49	2	12	2
Zotu989	1	2	1	1	0	0	0	2	86	3	0	39	104	0	0	3
Zotu1513	22	0	50	14	0	9	0	0	1	0	30	2	8	17	6	6
Zotu2552	8	2	1	25	0	16	0	0	0	3	0	0	0	2	14	0
Zotu2849	12	2	5	4	21	14	0	36	3	3	5	2	1	7	3	0
Zotu2834	5	1	9	12	14	15	0	17	1	2	3	1	8	2	8	0
Zotu1757	14	15	14	17	3	9	0	7	1	7	0	1	3	6	8	1
Zotu3135	17	6	20	3	4	8	0	4	3	3	1	1	3	5	6	11
Zotu2221	8	0	26	36	0	34	0	1	0	0	2	0	4	7	33	5
Zotu1189	6	29	21	34	8	36	0	26	5	58	12	3	10	4	14	17
Zotu2876	6	9	9	4	3	7	0	2	4	8	7	0	8	5	2	1
Zotu2835	3	2	4	5	0	5	0	0	13	1	0	10	19	2	3	0
Zotu1893	9	0	6	12	0	18	0	0	47	0	0	45	55	1	25	1
Zotu794	33	27	8	57	15	64	0	19	1	42	37	1	3	3	46	2
Zotu2944	9	2	6	6	1	10	0	9	3	4	7	1	4	3	4	0
Zotu2270	4	3	5	12	0	52	0	8	5	1	10	2	6	4	7	4
Zotu242	5	132	6	54	76	67	0	146	289	108	0	222	629	3	43	0
Zotu459	16	22	12	81	1	78	0	1	64	14	20	72	164	5	50	2
Zotu1718	23	7	11	0	28	0	0	27	6	1	2	0	2	12	0	26
Zotu1169	16	9	11	37	5	34	0	18	0	6	0	0	0	14	30	27
Zotu2314	8	22	0	0	0	0	0	0	0	28	1	0	0	6	0	0
Zotu2403	6	4	20	5	1	5	0	0	6	14	7	4	5	4	5	6
Zotu2247	9	6	4	4	0	2	0	0	16	6	13	9	38	3	6	0
Zotu653	11	3	33	46	4	37	0	18	47	2	15	41	103	14	24	40
Zotu1967	5	9	21	4	0	19	0	0	4	4	6	0	4	4	8	4
Zotu4329	4	6	0	2	0	5	0	0	1	2	5	0	0	2	0	0
Zotu4373	11	0	18	0	14	0	0	32	7	0	0	3	14	1	0	0
Zotu1906	7	25	4	6	0	2	0	0	30	13	0	14	72	16	1	0
Zotu832	17	31	19	16	13	29	0	39	57	20	2	22	78	12	9	24
Zotu757	8	21	10	12	92	17	0	122	9	19	70	6	40	5	11	11
Zotu3611	3	0	2	4	0	6	0	2	1	1	3	3	4	0	0	2
Zotu1598	1	0	0	4	1	5	0	0	0	0	0	0	0	1	3	199
Zotu3796	4	0	1	0	1	1	0	3	1	1	23	0	2	4	1	0
Zotu1454	9	3	19	18	3	17	0	9	2	3	29	12	9	3	13	21
Zotu362	34	95	103	235	88	240	0	135	2	110	5	1	4	26	157	3
Zotu1938	2	0	5	0	2	1	0	0	14	5	65	4	22	0	0	0
Zotu337	10	17	17	326	1	421	0	0	1	22	6	1	2	8	240	3
Zotu3393	4	10	6	6	18	11	0	12	1	11	2	3	3	1	6	0
Zotu3241	3	0	6	6	0	12	0	0	1	1	2	1	0	1	9	1
Zotu2150	5	2	11	8	7	6	0	11	0	1	23	3	0	0	12	1
Zotu815	14	39	17	27	6	14	0	11	64	63	68	35	39	17	15	128
Zotu1490	19	37	46	41	1	37	0	0	5	32	8	2	4	8	28	3
Zotu1479	12	19	18	24	9	28	0	6	1	20	32	0	3	7	9	17
Zotu1158	3	36	7	2	5	4	0	15	7	42	40	6	13	5	6	41
Zotu3299	2	2	2	10	2	10	0	3	3	0	1	0	0	0	1	2
Zotu1508	3	10	6	7	13	9	0	24	4	16	7	2	0	1	6	18
Zotu825	29	46	15	66	2	55	0	7	3	40	43	5	10	10	55	51
Zotu3185	5	7	6	3	0	5	0	0	5	7	0	5	9	3	6	0
Zotu1916	8	4	1	2	4	11	0	4	31	3	38	23	26	1	8	0
Zotu4471	1	1	0	15	1	18	0	0	0	0	0	0	0	0	24	0
Zotu1659	3	12	50	1	1	3	0	0	1	16	26	0	5	65	4	0
Zotu1346	3	7	39	12	0	0	0	0	5	7	24	66	1	14	14	8
Zotu1749	13	17	22	1	1	1	0	0	8	17	25	9	14	8	0	20
Zotu3169	2	1	4	0	0	1	0	2	3	2	12	2	10	1	0	0
Zotu266	32	23	23	123	0	112	0	0	72	20	290	38	104	20	123	0
Zotu1536	6	32	6	5	3	6	0	11	6	36	5	3	12	4	1	28
Zotu293	3	62	43	0	0	5	0	8	0	135	695	0	0	51	15	1
Zotu2381	2	5	0	2	0	0	0	0	20	8	0	15	34	2	0	2
Zotu338	9	8	8	35	0	20	0	1	0	2	3	0	0	20	20	989
Zotu2366	1	0	9	5	0	6	0	0	0	0	11	0	0	7	3	0
Zotu1629	5	0	8	5	26	1	0	25	0	0	0	0	1	3	2	0
Zotu2704	3	23	5	0	2	2	0	4	6	20	6	4	9	1	1	1
Zotu594	11	40	6	34	0	39	0	7	34	24	56	26	33	5	62	20
Zotu2618	5	0	7	13	0	13	0	0	2	0	0	1	1	6	17	5
Zotu4369	1	5	6	0	0	0	0	3	0	10	6	2	3	4	3	0
Zotu2387	7	14	9	2	0	4	0	0	11	20	21	5	14	3	6	0
Zotu2608	10	2	2	15	3	17	0	2	1	0	1	3	4	4	27	35
Zotu1038	15	4	24	34	4	35	0	0	10	12	68	7	5	10	15	7
Zotu2009	6	4	4	32	0	37	0	0	0	4	0	0	0	5	38	5
Zotu2611	14	0	9	11	3	11	0	2	0	0	0	0	0	9	12	0
Zotu1577	9	16	10	6	0	21	0	0	5	16	42	4	6	1	19	3
Zotu2655	8	0	2	7	0	11	0	0	2	2	19	0	2	2	8	1
Zotu3262	6	1	3	9	3	12	0	8	1	6	3	0	6	3	6	2
Zotu2791	3	0	0	13	0	12	0	0	0	1	0	0	0	1	4	63
Zotu2155	5	4	5	9	0	8	0	2	3	6	1	7	17	2	14	0
Zotu629	2	19	17	121	2	140	0	0	23	19	9	6	39	4	84	1
Zotu4266	4	0	3	0	0	1	0	0	0	0	3	0	0	5	0	0
Zotu2623	8	3	4	7	0	14	0	1	0	3	8	1	5	8	3	2
Zotu2083	11	6	5	3	2	9	0	3	9	7	15	2	14	5	8	2
Zotu759	3	161	3	3	0	2	0	0	49	146	4	34	113	0	1	1
Zotu3503	4	6	1	0	2	0	0	3	11	3	5	12	0	1	0	1
Zotu4291	4	3	8	9	6	10	0	22	0	4	2	0	0	1	10	1
Zotu2069	11	8	20	6	1	13	0	3	4	3	5	6	15	8	7	1
Zotu3065	4	0	4	26	5	21	0	10	0	0	0	0	6	0	13	0
Zotu2035	3	13	7	23	8	17	0	13	2	4	0	3	3	3	12	0
Zotu3844	3	12	3	0	3	0	0	2	1	6	9	1	5	10	1	1
Zotu2659	1	0	1	0	6	0	0	5	6	1	41	4	5	0	0	11
Zotu1334	7	27	12	0	2	3	0	1	17	28	8	10	23	4	3	1
Zotu1378	4	0	11	26	11	56	0	5	2	0	1	6	2	0	30	0
Zotu1466	11	1	6	20	5	29	0	9	6	1	6	1	5	3	18	2
Zotu2551	2	7	1	0	1	2	0	4	3	6	5	3	7	2	0	3
Zotu3468	9	0	7	30	0	34	0	0	3	0	0	7	8	3	27	0
